종목명,현재가,기준월,배당금,수익률(%),배당성향(%)
"1,500",,,,,
"1,494",,,,,
"1,494",,,,,
신풍제지,"2,395",19.12,60,2.51,8.47
80,,,,,
0,,,,,
0,,,,,
LS,"57,900",19.12,"1,450",2.5,158.94
"1,250",,,,,
"1,250",,,,,
"1,250",,,,,
까뮤이앤씨,"1,200",19.12,30,2.5,9.85
20,,,,,
20,,,,,
15,,,,,
대상홀딩스우,"8,430",19.12,210,2.49,10.29
200,,,,,
190,,,,,
180,,,,,
SIMPAC,"2,410",19.12,60,2.49,38.29
60,,,,,
80,,,,,
100,,,,,
한온시스템,"12,850",19.12,320,2.49,53.63
320,,,,,
305,,,,,
225,,,,,
빙그레,"58,400",19.12,"1,450",2.48,31.22
"1,350",,,,,
"1,250",,,,,
"1,250",,,,,
크라운제과우,"10,150",19.12,252,2.48,17.55
252,,,,,
252,,,,,
-,,,,,
SK,"202,000",19.12,"5,000",2.47,37.35
"5,000",,,,,
"4,000",,,,,
"3,700",,,,,
